endpoint,pi,e_star,n_total,n_screened,duration_months,total_cost
lvesv,0.6,1.0,52.0,86.66666666666667,28.25925925925926,7501333.333333334
lvesv,0.45,1.0,52.0,115.55555555555556,34.67901234567901,8035777.777777778
lvesv,0.3,1.0,52.0,173.33333333333334,47.51851851851852,9104666.666666666
lvesv,0.2,1.0,52.0,260.0,66.77777777777777,10708000.0
lvesv,0.12,1.0,52.0,433.33333333333337,105.2962962962963,13914666.666666668
lvesv,0.08,1.0,52.0,650.0,153.44444444444446,17923000.0
lvesv,0.05,1.0,52.0,1040.0,240.11111111111111,25138000.0
lvesv,0.03,1.0,52.0,1733.3333333333335,394.1851851851852,37964666.66666667
six_min_walk,0.6,0.995,32.0,53.06666666666667,20.79259259259259,5629733.333333333
six_min_walk,0.45,1.0,32.0,71.11111111111111,24.80246913580247,5963555.555555556
six_min_walk,0.3,1.0,32.0,106.66666666666667,32.70370370370371,6621333.333333334
six_min_walk,0.2,1.0,32.0,160.0,44.55555555555556,7608000.0
six_min_walk,0.12,0.131,70.0,76.41666666666667,25.98148148148148,8436708.333333334
six_min_walk,0.08,0.08,74.0,74.0,25.444444444444443,8642000.0
six_min_walk,0.05,0.05,76.0,76.0,25.88888888888889,8804000.0
six_min_walk,0.03,0.03,76.0,76.0,25.88888888888889,8804000.0
