shrinkage,effect_enriched,n_enriched,n_unselected,advantage
0.4,3.04,312.0,3668.0,11.756410256410257
0.45,3.42,248.0,2898.0,11.685483870967742
0.5,3.8,202.0,2348.0,11.623762376237623
0.55,4.18,166.0,1942.0,11.698795180722891
0.6,4.56,140.0,1632.0,11.657142857142857
0.65,4.9399999999999995,120.0,1390.0,11.583333333333334
0.7,5.319999999999999,104.0,1200.0,11.538461538461538
0.75,5.699999999999999,92.0,1046.0,11.369565217391305
0.8,6.08,80.0,920.0,11.5
0.85,6.46,72.0,814.0,11.305555555555555
0.8999999999999999,6.839999999999999,64.0,726.0,11.34375
0.95,7.22,58.0,652.0,11.241379310344827
1.0,7.6,52.0,590.0,11.346153846153847
